
폭염일수
[검색조건]
자료구분 : 월
지역/지점 : 전국
기간 : 1991~2025 06~09

년월,폭염일수,평균 최고기온(℃)
1991-06,0.3,27.2
1991-07,1.0,28.0
1991-08,2.2,28.4
1991-09,0.1,25.7
1992-06,0.1,26.0
1992-07,4.7,29.8
1992-08,1.0,28.6
1992-09,0.1,25.4
1993-06,0.0,25.5
1993-07,0.0,26.4
1993-08,0.0,26.4
1993-09,0.0,25.8
1994-06,0.9,26.9
1994-07,17.7,33.3
1994-08,9.8,31.8
1994-09,1.2,26.8
1995-06,0.0,25.6
1995-07,2.7,28.8
1995-08,7.7,31.1
1995-09,0.0,24.7
1996-06,0.2,25.4
1996-07,5.2,28.8
1996-08,10.3,30.4
1996-09,0.0,27.1
1997-06,1.5,27.8
1997-07,5.6,29.3
1997-08,3.9,30.2
1997-09,0.9,25.8
1998-06,0.0,24.5
1998-07,0.6,27.9
1998-08,1.0,29.1
1998-09,0.7,27.3
1999-06,0.9,27.1
1999-07,1.1,28.0
1999-08,3.1,28.8
1999-09,0.0,26.9
2000-06,1.6,27.0
2000-07,4.7,30.5
2000-08,4.3,30.0
2000-09,0.1,24.5
2001-06,1.1,26.7
2001-07,4.7,30.3
2001-08,5.7,30.5
2001-09,0.0,26.8
2002-06,0.6,27.0
2002-07,2.9,28.6
2002-08,1.7,27.6
2002-09,0.2,25.7
2003-06,0.0,25.7
2003-07,0.0,26.2
2003-08,1.1,28.0
2003-09,0.1,25.9
2004-06,0.8,27.3
2004-07,6.2,29.5
2004-08,7.8,29.9
2004-09,0.0,26.1
2005-06,1.3,27.8
2005-07,3.9,29.2
2005-08,3.9,29.6
2005-09,0.6,26.4
2006-06,0.2,26.7
2006-07,1.4,26.7
2006-08,11.9,31.6
2006-09,0.0,25.1
2007-06,0.6,26.8
2007-07,1.6,27.7
2007-08,6.5,30.4
2007-09,0.1,25.3
2008-06,0.1,25.2
2008-07,6.3,30.4
2008-08,4.3,29.5
2008-09,0.4,27.0
2009-06,1.3,27.2
2009-07,0.3,27.9
2009-08,1.9,29.1
2009-09,0.1,26.6
2010-06,0.6,28.0
2010-07,2.9,29.6
2010-08,7.5,31.1
2010-09,1.3,26.9
2011-06,0.7,27.1
2011-07,2.3,28.9
2011-08,2.5,29.2
2011-09,0.8,26.4
2012-06,0.3,27.3
2012-07,5.6,29.7
2012-08,8.1,30.7
2012-09,0.0,25.2
2013-06,0.3,27.7
2013-07,4.0,30.2
2013-08,12.1,32.3
2013-09,0.0,26.4
2014-06,0.2,26.8
2014-07,4.5,29.7
2014-08,0.9,27.7
2014-09,0.0,26.5
2015-06,0.5,27.1
2015-07,3.1,28.7
2015-08,5.7,30.2
2015-09,0.0,26.2
2016-06,0.1,27.2
2016-07,5.1,29.7
2016-08,16.6,32.0
2016-09,0.0,26.2
2017-06,1.7,27.8
2017-07,5.9,30.6
2017-08,5.6,29.9
2017-09,0.0,26.3
2018-06,1.5,27.8
2018-07,15.4,31.6
2018-08,14.1,32.2
2018-09,0.0,25.3
2019-06,0.5,26.8
2019-07,3.0,29.1
2019-08,9.0,31.0
2019-09,0.0,26.5
2020-06,1.9,28.0
2020-07,0.1,26.2
2020-08,5.7,30.5
2020-09,0.0,24.9
2021-06,0.1,26.7
2021-07,8.1,30.8
2021-08,3.5,29.2
2021-09,0.0,25.8
2022-06,1.6,27.2
2022-07,5.8,30.3
2022-08,2.9,29.1
2022-09,0.2,26.3
2023-06,0.9,27.5
2023-07,4.1,29.6
2023-08,9.0,30.9
2023-09,0.0,27.1
2024-06,2.8,28.4
2024-07,4.3,29.9
2024-08,16.9,33.0
2024-09,6.0,29.6
2025-06,2.0,28.2
2025-07,14.5,32.0
2025-08,11.5,31.9
2025-09,1.6,

